Farmer ID,CropArea_Ha,YearName,MonthNumber,WeekNumber,QuantityKg
2607,0.26,2019,6,24,60.6
484,0.525,2023,7,27,82.5
2450,0.3094,2019,2,8,28.2
615,0.4647,2023,12,50,19.6
2306,0.4655,2022,1,2,166.9
898,0.4084,2021,11,45,261.4
2149,0.0937,2022,8,36,13.4
2398,1.9472,2020,3,10,67.6
2275,0.7,2023,1,2,14.5
1594,0.168,2019,7,30,78.3
17234,0.8992,2020,1,3,151.6
1870,0.2285,2022,7,28,13
2634,0.5343,2020,4,15,239.3
2725,0.2155,2020,2,7,45.9
15637,1.0884,2022,5,23,51.9
15529,0.1048,2020,8,33,13
15033,0.388,2021,9,40,48.4
17302,0.1353,2020,2,5,16.7
15548,0.7,2020,12,53,28.7
15065,0.2327,2022,9,39,146.7
1521,0.2323,2023,12,52,16.6
2452,0.4727,2020,11,49,18.7
1889,1.4009,2022,11,48,760.3
1124,0.4354,2023,4,13,13
2138,0.2668,2022,12,49,78.7
891,0.3134,2023,12,51,100.3
2078,0.7242,2019,10,43,30.6
1938,0.2191,2019,8,33,48.8
17862,0.4136,2020,10,40,49.9
2652,0.5976,2020,11,46,144.3
2737,0.1047,2023,12,50,76.6
889,0.1229,2019,8,31,19.5
2775,0.4711,2022,6,27,47.1
1891,0.1072,2019,11,47,6.3
1445,0.193,2021,2,8,20.8
